Fatal,Grevious,MiNor,injured,LAT,LOG
1,0,1,1,18.3107,73.886
0,1,0,0,18.7692,73.3768
1,0,0,0,18.3207,73.8684
1,1,0,1,17.9634,73.9848
1,1,0,0,18.3551,73.8524
1,0,1,1,18.7381,73.6389
1,1,0,0,17.7018,74.0329
0,1,0,1,18.4458,73.8507
1,0,1,1,17.8092,73.972
1,0,0,0,18.1484,73.9775
0,1,0,1,18.4865,73.7968
1,0,1,1,18.1998,73.9441
1,0,1,1,18.0891,73.9793
0,1,1,1,18.4865,73.7968
1,0,0,0,18.3207,73.8684
1,0,1,1,17.8341,73.9525
1,0,1,1,19.2961,73.8768
1,0,1,0,18.3207,73.8684
1,0,1,1,17.7903,74.008
1,0,1,1,18.1484,73.9775
1,0,0,1,17.886,73.9492
0,0,1,1,17.6127,74.0201
1,0,0,0,18.2961,73.8669
0,0,0,0,17.8051,73.9624
1,1,0,1,18.3107,73.886
1,0,1,0,18.2741,73.8683
1,0,0,1,18.0891,73.9793
1,1,0,1,18.7692,73.3768
1,0,1,1,17.9634,73.9848
1,1,0,0,18.6868,73.73088
1,1,0,1,18.1177,73.9859
0,1,1,0,17.7018,74.0329
0,1,1,1,18.5601,74.3733
1,0,1,1,17.8092,73.972
1,1,0,1,18.7692,73.3768
1,0,0,1,17.9205,73.9877
0,1,0,0,18.4268,73.8397
1,0,1,0,18.3634,73.8592
1,0,1,0,18.2741,73.8683
0,0,0,1,18.5142,73.6705
1,1,0,1,18.3207,73.8684
1,1,0,0,17.7981,73.9616
0,0,1,0,17.6127,74.0201
1,1,0,1,18.4268,73.8397
0,0,1,1,18.3107,73.886
1,0,1,1,18.6612,73.7287
1,0,0,1,18.3551,73.8524
0,0,0,1,18.2489,73.8875
1,0,1,1,18.6523,73.7419
1,0,1,1,18.7381,73.6389
1,0,0,1,18.7692,73.3768
1,0,0,0,18.2316,73.9117
1,0,1,1,18.3207,73.8684
